{'stateEstimate.x': 0.09148246794939041, 'stateEstimate.y': -0.08125517517328262}
{'stateEstimate.x': 0.09128953516483307, 'stateEstimate.y': -0.08110017329454422}
{'stateEstimate.x': 0.09103737026453018, 'stateEstimate.y': -0.08085564523935318}
{'stateEstimate.x': 0.09082647413015366, 'stateEstimate.y': -0.08072264492511749}
{'stateEstimate.x': 0.09060416370630264, 'stateEstimate.y': -0.08048832416534424}
{'stateEstimate.x': 0.09038033336400986, 'stateEstimate.y': -0.08037510514259338}
{'stateEstimate.x': 0.09013230353593826, 'stateEstimate.y': -0.08011537045240402}
{'stateEstimate.x': 0.08989687263965607, 'stateEstimate.y': -0.0800209790468216}
{'stateEstimate.x': 0.08972660452127457, 'stateEstimate.y': -0.0797818973660469}
{'stateEstimate.x': 0.0894845500588417, 'stateEstimate.y': -0.07970000058412552}
{'stateEstimate.x': 0.08927027136087418, 'stateEstimate.y': -0.07938876003026962}
{'stateEstimate.x': 0.08902286738157272, 'stateEstimate.y': -0.07930754125118256}
{'stateEstimate.x': 0.08880844712257385, 'stateEstimate.y': -0.0789722129702568}
{'stateEstimate.x': 0.08855430781841278, 'stateEstimate.y': -0.0788838192820549}
{'stateEstimate.x': 0.0885809138417244, 'stateEstimate.y': -0.07876534759998322}
{'stateEstimate.x': 0.08833533525466919, 'stateEstimate.y': -0.07868261635303497}
{'stateEstimate.x': 0.088302843272686, 'stateEstimate.y': -0.07854195684194565}
{'stateEstimate.x': 0.08806634694337845, 'stateEstimate.y': -0.07846882939338684}
{'stateEstimate.x': 0.08805383741855621, 'stateEstimate.y': -0.07834215462207794}
{'stateEstimate.x': 0.08782588690519333, 'stateEstimate.y': -0.07827527821063995}
{'stateEstimate.x': 0.08791809529066086, 'stateEstimate.y': -0.07830391079187393}
{'stateEstimate.x': 0.08770926296710968, 'stateEstimate.y': -0.07826565206050873}
{'stateEstimate.x': 0.08781443536281586, 'stateEstimate.y': -0.0782366394996643}
{'stateEstimate.x': 0.08770398795604706, 'stateEstimate.y': -0.07802923023700714}
{'stateEstimate.x': 0.08753970265388489, 'stateEstimate.y': -0.07800129801034927}
{'stateEstimate.x': 0.08742853999137878, 'stateEstimate.y': -0.07779406756162643}
{'stateEstimate.x': 0.08726150542497635, 'stateEstimate.y': -0.07776348292827606}
{'stateEstimate.x': 0.08697410672903061, 'stateEstimate.y': -0.07736030220985413}
{'stateEstimate.x': 0.08679580688476562, 'stateEstimate.y': -0.07731404155492783}
{'stateEstimate.x': 0.08658997714519501, 'stateEstimate.y': -0.0771266520023346}
{'stateEstimate.x': 0.08639422804117203, 'stateEstimate.y': -0.07707403600215912}
